"Time","DataCount (samples)","Interval (s)","ActivityCode (0=sedentary, 1= standing, 2=stepping)","CumulativeStepCount","Activity Score (MET.h)","Abs(sumDiff)"
42444.5832060185,0,32963.5,0,0,11.44566,8501
42444.9647280093,329635,13.9,1,0,5.405555E-03,510
42444.9648888889,329774,.8,2,1,1.033333E-03,234
42444.9648981482,329782,1.4,2,2,1.266667E-03,513
42444.9649143519,329796,1.6,2,3,1.344444E-03,236
42444.9649328704,329812,1.4,2,4,1.266667E-03,171
42444.9649490741,329826,1.4,2,5,1.266667E-03,216
42444.9649652778,329840,1.6,2,6,1.344444E-03,272
42444.9649837963,329856,1.6,2,7,1.344444E-03,300
42444.9650023148,329872,5.2,2,8,2.744444E-03,679
42444.9650625,329924,5.8,2,9,2.977778E-03,1036
42444.9651296296,329982,5.7,2,10,2.938889E-03,589
42444.9651956019,330039,5.6,2,11,.0029,1201
42444.9652604167,330095,16.5,1,11,6.416667E-03,1305
42444.9654513889,330260,1.2,2,12,1.188889E-03,264
42444.9654652778,330272,1.2,2,13,1.188889E-03,401
42444.9654791667,330284,1.5,2,14,1.305556E-03,209
42444.9654965278,330299,91.2,1,14,3.546666E-02,3014
42444.9665520833,331211,83.6,0,14,2.902778E-02,102
42444.9675196759,332047,9.4,1,14,3.655555E-03,254
42444.9676284722,332141,.8,2,15,1.033333E-03,177
42444.9676377315,332149,4.9,2,16,2.627778E-03,440
42444.9676944444,332198,21.8,1,16,8.477777E-03,479
42444.9679467593,332416,13.8,0,16,4.791667E-03,114
42444.9681064815,332554,19.2,1,16,7.466667E-03,564
42444.9683287037,332746,.7,2,17,9.944445E-04,110
42444.9683368056,332753,2.1,2,18,1.538889E-03,291
42444.9683611111,332774,62.9,1,18,2.446111E-02,2652
42444.9690891204,333403,27.2,0,18,9.444444E-03,105
42444.9694039352,333675,99.3,1,18,3.861667E-02,2675
42444.9705532407,334668,79.4,0,18,2.756944E-02,121
42444.9714722222,335462,34.6,1,18,1.345555E-02,857
42444.9718726852,335808,3.5,2,19,2.083333E-03,383
42444.9719131944,335843,36.9,1,19,.01435,1276
42444.9723402778,336212,1,2,20,1.111111E-03,232
42444.9723518519,336222,4.3,2,21,2.394445E-03,822
42444.9724016204,336265,66.1,1,21,2.570556E-02,2754
42444.9731666667,336926,2.4,2,22,1.655556E-03,592
42444.9731944444,336950,65.5,1,22,2.547222E-02,3038
42444.9739525463,337605,2.8,2,23,1.811111E-03,365
42444.9739849537,337633,1.4,2,24,1.266667E-03,218
42444.9740011574,337647,16,1,24,6.222222E-03,567
42444.9741863426,337807,1.8,2,25,1.422222E-03,156
42444.9742071759,337825,2.2,2,26,1.577778E-03,301
42444.9742326389,337847,2.9,2,27,.00185,600
42444.9742662037,337876,2,2,28,.0015,345
42444.9742893519,337896,7.2,1,28,.0028,249
42444.9743726852,337968,1.9,2,29,1.461111E-03,265
42444.9743946759,337987,1.6,2,30,1.344444E-03,361
