"Time","DataCount (samples)","Interval (s)","ActivityCode (0=sedentary, 1= standing, 2=stepping)","CumulativeStepCount","Activity Score (MET.h)","Abs(sumDiff)"
42670.5831944444,0,1653.3,0,0,.5740625,54
42670.6023298611,16533,10.5,1,0,4.083333E-03,603
42670.6024513889,16638,3.2,2,1,1.966667E-03,624
42670.6024884259,16670,2.4,2,2,1.655556E-03,323
42670.6025162037,16694,11.4,1,2,4.433333E-03,621
42670.6026481481,16808,1.5,2,3,1.305556E-03,279
42670.6026655093,16823,5.5,2,4,2.861111E-03,301
42670.6027291667,16878,3.9,2,5,2.238889E-03,182
42670.6027743056,16917,41.6,1,5,1.617778E-02,746
42670.603255787,17333,1.3,2,6,1.227778E-03,498
42670.6032708333,17346,1.1,2,7,.00115,327
42670.6032835648,17357,1.3,2,8,1.227778E-03,495
42670.6032986111,17370,1.2,2,9,1.188889E-03,374
42670.6033125,17382,1.4,2,10,1.266667E-03,318
42670.6033287037,17396,1.5,2,11,1.305556E-03,531
42670.6033460648,17411,1.4,2,12,1.266667E-03,507
42670.6033622685,17425,2.2,2,13,1.577778E-03,736
42670.6033877315,17447,16.8,1,13,6.533333E-03,178
42670.6035821759,17615,1.1,2,14,.00115,378
42670.6035949074,17626,1.1,2,15,.00115,344
42670.6036076389,17637,1.2,2,16,1.188889E-03,334
42670.6036215278,17649,1.2,2,17,1.188889E-03,663
42670.6036354167,17661,1.2,2,18,1.188889E-03,512
42670.6036493056,17673,1.2,2,19,1.188889E-03,366
42670.6036631944,17685,1.2,2,20,1.188889E-03,446
42670.6036770833,17697,1.2,2,21,1.188889E-03,371
42670.6036909722,17709,1.2,2,22,1.188889E-03,418
42670.6037048611,17721,1.3,2,23,1.227778E-03,481
42670.6037199074,17734,1.2,2,24,1.188889E-03,401
42670.6037337963,17746,1.1,2,25,.00115,380
42670.6037465278,17757,1.2,2,26,1.188889E-03,604
42670.6037604167,17769,1.2,2,27,1.188889E-03,413
42670.6037743056,17781,1.5,2,28,1.305556E-03,345
42670.6037916667,17796,.9,2,29,1.072222E-03,376
42670.6038020833,17805,1.2,2,30,1.188889E-03,446
42670.6038159722,17817,1.1,2,31,.00115,438
42670.6038287037,17828,1.1,2,32,.00115,252
42670.6038414352,17839,1.2,2,33,1.188889E-03,632
42670.6038553241,17851,1.1,2,34,.00115,659
42670.6038680556,17862,1.2,2,35,1.188889E-03,445
42670.6038819444,17874,1.1,2,36,.00115,354
42670.6038946759,17885,1.2,2,37,1.188889E-03,339
42670.6039085648,17897,1.1,2,38,.00115,486
42670.6039212963,17908,1.2,2,39,1.188889E-03,374
42670.6039351852,17920,1.2,2,40,1.188889E-03,459
42670.6039490741,17932,1.1,2,41,.00115,314
42670.6039618056,17943,1.2,2,42,1.188889E-03,394
42670.6039756944,17955,1.1,2,43,.00115,298
42670.6039884259,17966,1.1,2,44,.00115,284
42670.6040011574,17977,1.1,2,45,.00115,447
42670.6040138889,17988,1.1,2,46,.00115,402
42670.6040266204,17999,1.1,2,47,.00115,319
42670.6040393518,18010,1.1,2,48,.00115,687
42670.6040520833,18021,1.1,2,49,.00115,655
42670.6040648148,18032,1.1,2,50,.00115,527
42670.6040775463,18043,1.2,2,51,1.188889E-03,563
42670.6040914352,18055,1.1,2,52,.00115,332
42670.6041041667,18066,1.1,2,53,.00115,295
42670.6041168981,18077,1.1,2,54,.00115,364
42670.6041296296,18088,1,2,55,1.111111E-03,259
42670.6041412037,18098,1.1,2,56,.00115,467
42670.6041539352,18109,1.1,2,57,.00115,689
42670.6041666667,18120,1.4,2,58,1.266667E-03,715
42670.6041828704,18134,.8,2,59,1.033333E-03,382
42670.6041921296,18142,1.1,2,60,.00115,453
42670.6042048611,18153,1.1,2,61,.00115,370
42670.6042175926,18164,1.1,2,62,.00115,508
42670.6042303241,18175,1.1,2,63,.00115,461
42670.6042430556,18186,1.1,2,64,.00115,493
42670.604255787,18197,1.2,2,65,1.188889E-03,628
42670.6042696759,18209,1.1,2,66,.00115,513
42670.6042824074,18220,7,1,66,2.722222E-03,570
42670.6043634259,18290,.7,2,67,9.944445E-04,91
42670.6043715278,18297,10.6,1,67,4.122222E-03,563
42670.604494213,18403,1.4,2,68,1.266667E-03,279
42670.6045104167,18417,1.2,2,69,1.188889E-03,338
42670.6045243056,18429,2.1,2,70,1.538889E-03,555
42670.6045486111,18450,8.5,1,70,3.305556E-03,215
42670.6046469907,18535,1.2,2,71,1.188889E-03,252
42670.6046608796,18547,1.1,2,72,.00115,660
42670.6046736111,18558,1.2,2,73,1.188889E-03,571
42670.6046875,18570,1.1,2,74,.00115,670
42670.6047002315,18581,1.1,2,75,.00115,652
42670.604712963,18592,1.1,2,76,.00115,580
42670.6047256944,18603,1.1,2,77,.00115,532
42670.6047384259,18614,1.1,2,78,.00115,503
42670.6047511574,18625,1.1,2,79,.00115,487
42670.6047638889,18636,1.2,2,80,1.188889E-03,431
42670.6047777778,18648,1.2,2,81,1.188889E-03,457
42670.6047916667,18660,1.1,2,82,.00115,517
42670.6048043982,18671,1.1,2,83,.00115,499
42670.6048171296,18682,1,2,84,1.111111E-03,430
42670.6048287037,18692,1.2,2,85,1.188889E-03,455
